,source_id,experiment_id,member_id,variable_id,file_name
223,CanESM5-CanOE,1pctCO2,r1i1p2f1,hfds,manual_data/CanESM5-CanOE_1pctCO2_r1i1p2f1_hfds.npy
224,FIO-ESM-2-0,abrupt-4xCO2,r2i1p1f1,tos,manual_data/FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_tos.npy
225,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,mlotst,manual_data/MPI-ESM1-2-HR_1pctCO2_r1i1p1f1_mlotst.npy
226,MRI-ESM2-0,abrupt-4xCO2,r1i2p1f1,tos,manual_data/MRI-ESM2-0_abrupt-4xCO2_r1i2p1f1_tos.npy
227,CanESM5,abrupt-4xCO2,r1i1p2f1,mlotst,manual_data/CanESM5_abrupt-4xCO2_r1i1p2f1_mlotst.npy
228,CNRM-CM6-1,abrupt-4xCO2,r6i1p1f2,mlotst,manual_data/CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_mlotst.npy
229,CNRM-ESM2-1,1pctCO2,r2i1p1f2,hfds,manual_data/CNRM-ESM2-1_1pctCO2_r2i1p1f2_hfds.npy
230,CanESM5,1pctCO2,r3i1p1f1,mlotst,manual_data/CanESM5_1pctCO2_r3i1p1f1_mlotst.npy
231,CNRM-CM6-1,abrupt-4xCO2,r1i1p1f2,hfds,manual_data/CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_hfds.npy
232,FGOALS-f3-L,1pctCO2,r3i1p1f1,mlotst,manual_data/FGOALS-f3-L_1pctCO2_r3i1p1f1_mlotst.npy
233,IPSL-CM6A-LR,abrupt-4xCO2,r1i1p1f1,tos,manual_data/IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_tos.npy
234,CNRM-ESM2-1,abrupt-4xCO2,r2i1p1f2,hfds,manual_data/CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_hfds.npy
235,IPSL-CM6A-LR,1pctCO2,r1i1p1f1,mlotst,manual_data/IPSL-CM6A-LR_1pctCO2_r1i1p1f1_mlotst.npy
236,CNRM-ESM2-1,1pctCO2,r3i1p1f2,mlotst,manual_data/CNRM-ESM2-1_1pctCO2_r3i1p1f2_mlotst.npy
237,INM-CM4-8,abrupt-4xCO2,r1i1p1f1,rtmt,manual_data/INM-CM4-8_abrupt-4xCO2_r1i1p1f1_rtmt.npy
238,BCC-CSM2-MR,1pctCO2,r1i1p1f1,tos,manual_data/BCC-CSM2-MR_1pctCO2_r1i1p1f1_tos.npy
239,CanESM5,1pctCO2,r3i1p1f1,ts,manual_data/CanESM5_1pctCO2_r3i1p1f1_ts.npy
