,source_id,member_id,experiment_id,table_id,variable_id
228,IPSL-CM6A-LR,r2i1p1f1,abrupt-4xCO2,Omon,mlotst
229,CESM2-FV2,r1i1p1f1,1pctCO2,Amon,ts
230,CAMS-CSM1-0,r2i1p1f1,abrupt-4xCO2,Omon,tos
231,FGOALS-f3-L,r1i1p1f1,1pctCO2,Amon,ts
232,FGOALS-f3-L,r1i1p1f1,1pctCO2,Omon,tos
233,ACCESS-ESM1-5,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
234,FGOALS-f3-L,r1i1p1f1,1pctCO2,Amon,rlut
235,CESM2-FV2,r1i1p1f1,1pctCO2,Omon,tos
236,CanESM5,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
237,CAS-ESM2-0,r1i1p1f1,1pctCO2,Omon,mlotst
238,FGOALS-f3-L,r2i1p1f1,abrupt-4xCO2,Omon,mlotst
239,GISS-E2-1-G,r1i1p3f1,1pctCO2,Omon,mlotst
240,FGOALS-f3-L,r2i1p1f1,1pctCO2,Amon,rsut
241,FGOALS-f3-L,r2i1p1f1,abrupt-4xCO2,Amon,rsdt
242,CanESM5,r3i1p1f1,1pctCO2,Omon,mlotst
243,HadGEM3-GC31-LL,r1i1p1f3,1pctCO2,Amon,rtmt
244,CNRM-ESM2-1,r1i1p1f2,1pctCO2,Omon,mlotst
245,CNRM-CM6-1,r3i1p1f2,abrupt-4xCO2,Omon,mlotst
246,AWI-ESM-1-1-LR,r1i1p1f1,piControl,Amon,ts
247,NorESM2-MM,r1i1p1f1,1pctCO2,Omon,mlotst
248,UKESM1-0-LL,r2i1p1f2,1pctCO2,Amon,rtmt
